Date,Open,High,Low,Close,Adj Close,Volume
2012-08-20,30.820000,30.959999,30.080000,30.559999,25.117189,137296700
2012-08-27,30.930000,30.959999,30.219999,30.820000,25.330879,142558000
2012-09-03,30.450001,31.360001,30.150000,30.950001,25.437727,173227500
2012-09-10,30.830000,31.250000,30.400000,31.209999,25.651421,194961700
2012-09-17,31.190001,31.610001,30.910000,31.190001,25.634981,267795000
2012-09-24,31.000000,31.070000,29.740000,29.760000,24.459669,257123500
2012-10-01,29.809999,30.250000,29.420000,29.850000,24.533646,228806300
2012-10-08,29.639999,29.920000,28.799999,29.200001,23.999411,210053400
2012-10-15,29.370001,29.740000,28.500000,28.639999,23.539145,284095000
2012-10-22,28.730000,28.830000,27.760000,28.209999,23.185732,312983500
2012-10-29,28.549999,29.770000,28.500000,29.500000,24.245975,198643600
2012-11-05,29.620001,30.200001,28.799999,28.830000,23.695305,232477100
2012-11-12,28.940001,29.010000,26.340000,26.520000,21.796722,383926500
2012-11-19,26.799999,27.770000,26.459999,27.700001,22.953634,228455700
2012-11-26,27.540001,27.580000,26.490000,26.620001,22.058693,336477300
2012-12-03,26.780001,26.980000,26.260000,26.459999,21.926111,256579500
2012-12-10,26.559999,27.620001,26.520000,26.809999,22.216139,230437800
2012-12-17,26.790001,27.730000,26.680000,27.450001,22.746473,297436700
2012-12-24,27.200001,27.250000,26.549999,26.549999,22.000690,120107400
2012-12-31,26.590000,27.730000,26.370001,26.740000,22.158127,196464300
2013-01-07,26.770000,26.980000,26.280001,26.830000,22.232712,257804800
2013-01-14,26.900000,27.469999,26.760000,27.250000,22.580748,241499900
2013-01-21,27.299999,28.230000,27.000000,27.879999,23.102791,292625300
2013-01-28,28.010000,28.230000,27.400000,27.930000,23.144232,254975500
2013-02-04,27.870001,28.020000,27.100000,27.549999,22.829338,199186800
2013-02-11,27.650000,28.160000,27.500000,28.010000,23.210527,192268300
2013-02-18,27.879999,28.200001,27.230000,27.760000,23.003366,163396000
2013-02-25,27.969999,28.049999,27.330000,27.950001,23.352556,205019700
2013-03-04,27.850000,28.540001,27.700001,28.000000,23.394333,197902700
2013-03-11,27.940001,28.160000,27.639999,28.040001,23.427757,253601200
2013-03-18,27.879999,28.490000,27.809999,28.250000,23.603210,195112900
2013-03-25,28.299999,28.660000,27.959999,28.610001,23.903997,163479500
2013-04-01,28.639999,28.950001,28.110001,28.700001,23.979189,188910900
2013-04-08,28.730000,30.320000,28.469999,28.790001,24.054384,377419500
2013-04-15,28.650000,30.240000,28.500000,29.770000,24.873184,318668200
2013-04-22,30.299999,32.840000,30.270000,31.790001,26.560923,446477000
2013-04-29,31.799999,33.520000,31.770000,33.490002,27.981285,281456600
2013-05-06,33.419998,33.910000,32.320000,32.689999,27.312880,218465000
2013-05-13,32.610001,34.869999,32.549999,34.869999,29.134296,259251200
2013-05-20,34.730000,35.270000,33.900002,34.270000,28.833769,253047800
2013-05-27,34.419998,35.279999,34.410000,34.900002,29.363840,193921000
2013-06-03,34.919998,35.779999,34.430000,35.669998,30.011694,241183000
2013-06-10,35.509998,35.650002,34.250000,34.400002,28.943150,211650600
2013-06-17,34.689999,35.169998,33.049999,33.270000,27.992401,248935000
2013-06-24,32.939999,34.790001,32.570000,34.540001,29.060949,243386900
2013-07-01,34.750000,34.990002,33.580002,34.209999,28.783287,110765700
2013-07-08,34.349998,35.770000,33.980000,35.669998,30.011694,176513700
2013-07-15,35.660000,36.430000,31.020000,31.400000,26.419037,405781800
2013-07-22,31.700001,32.189999,31.209999,31.620001,26.604137,299500800
2013-07-29,31.469999,32.119999,31.400000,31.889999,26.831310,190326400
2013-08-05,31.900000,33.070000,31.250000,32.700001,27.512819,191229200
2013-08-12,32.459999,33.360001,30.840000,31.799999,26.755583,179681700
2013-08-19,31.760000,35.200001,31.370001,34.750000,29.443659,344954900
2013-08-26,34.400002,34.669998,32.799999,33.400002,28.299812,263641400
