Date,Adj Close
8/20/12,25.796185
8/27/12,26.015656
9/3/12,26.125389
9/10/12,26.344858
9/17/12,26.327978
9/24/12,25.120886
10/1/12,25.196863
10/8/12,24.648188
10/15/12,24.17548
10/22/12,23.812511
10/29/12,24.901419
11/5/12,24.335867
11/12/12,22.385954
11/19/12,23.574144
11/26/12,22.655014
12/3/12,22.518839
12/10/12,22.816711
12/17/12,23.361383
12/24/12,22.595436
12/31/12,22.757137
1/7/13,22.833727
1/14/13,23.19117
1/21/13,23.727333
1/28/13,23.769892
2/4/13,23.446489
2/11/13,23.837973
2/18/13,23.625208
2/25/13,23.983852
3/4/13,24.026758
3/11/13,24.061085
3/18/13,24.24128
3/25/13,24.550192
4/1/13,24.627424
4/8/13,24.704655
4/15/13,25.545591
4/22/13,27.278946
4/29/13,28.737719
5/6/13,28.051237
5/13/13,29.92189
5/20/13,29.613247
5/27/13,30.157629
6/3/13,30.822996
6/10/13,29.725578
6/17/13,28.749121
6/24/13,29.84655
7/1/13,29.561394
7/8/13,30.822996
7/15/13,27.133228
7/22/13,27.323332
7/29/13,27.556644
8/5/13,28.25658
8/12/13,27.478867
8/19/13,30.239601
8/26/13,29.064837
9/2/13,27.106876
9/9/13,28.742859
9/16/13,28.534012
9/23/13,28.951702
9/30/13,29.482533
10/7/13,29.700087
10/14/13,30.422359
10/21/13,31.092409
10/28/13,30.918375
11/4/13,32.876328
11/11/13,32.928539
11/18/13,32.693577
11/25/13,33.432549
12/2/13,33.634212
12/9/13,32.169949
12/16/13,32.266399
12/23/13,32.696033
12/30/13,32.362835
1/6/14,31.600014
1/13/14,31.898146
1/20/14,32.275166
1/27/14,33.178257
2/3/14,32.055962
2/10/14,32.985371
2/17/14,33.301022
2/24/14,33.842247
3/3/14,33.480068
3/10/14,33.303394
3/17/14,35.476494
3/24/14,35.600174
3/31/14,35.220318
4/7/14,34.637295
4/14/14,35.343998
4/21/14,35.255661
4/28/14,35.061306
5/5/14,34.92881
5/12/14,35.184994
5/19/14,35.691181
5/26/14,36.420677
6/2/14,36.901066
6/9/14,36.678658
6/16/14,37.078991
6/23/14,37.586067
6/30/14,37.185738
7/7/14,37.443733
7/14/14,39.756718
7/21/14,39.587696
7/28/14,38.128727
8/4/14,38.431206
8/11/14,39.84568
8/18/14,40.165943
8/25/14,40.667454
9/1/14,41.09713
9/8/14,41.804314
9/15/14,42.538345
9/22/14,41.544716
9/29/14,41.258266
10/6/14,39.414215
10/13/14,39.056164
10/20/14,41.294075
10/27/14,42.028111
11/3/14,43.576752
11/10/14,44.382393
11/17/14,42.950138
11/24/14,43.06789
12/1/14,43.617382
12/8/14,42.293186
12/15/14,42.932766
12/22/14,43.130943
12/29/14,42.12204
1/5/15,42.509384
1/12/15,41.65361
1/19/15,42.500378
1/26/15,36.392864
2/2/15,38.203495
2/9/15,39.518677
2/16/15,39.509682
2/23/15,39.781765
3/2/15,38.430016
3/9/15,37.540939
3/16/15,38.901772
3/23/15,37.168976
3/30/15,36.552055
4/6/15,37.849388
4/13/15,37.758667
4/20/15,43.428814
4/27/15,44.145527
5/4/15,43.319954
5/11/15,43.81892
5/18/15,42.548809
5/25/15,42.788803
6/1/15,42.131355
6/8/15,41.976128
6/15/15,42.094841
6/22/15,41.327812
6/29/15,40.54253
7/6/15,40.734291
7/13/15,42.569649
7/20/15,41.94873
7/27/15,42.642704
8/3/15,42.679237
8/10/15,42.916637
8/17/15,39.328087
8/24/15,40.377884
8/31/15,39.164623
9/7/15,39.964264
9/14/15,39.964264
9/21/15,40.387074
9/28/15,41.885273
10/5/15,43.300755
10/12/15,43.668411
10/19/15,48.595009
10/26/15,48.383606
11/2/15,50.479248
11/9/15,48.56744
11/16/15,49.808277
11/23/15,49.903416
11/30/15,51.73558
12/7/15,50.023716
12/14/15,50.088486
12/21/15,51.513504
12/28/15,51.337688
1/4/16,48.422878
1/11/16,47.182934
1/18/16,48.385864
1/25/16,50.97681
2/1/16,46.414902
2/8/16,46.729507
2/15/16,47.950954
2/22/16,47.810608
2/29/16,48.490952
3/7/16,49.460213
3/14/16,49.851643
3/21/16,50.522675
3/28/16,51.790169
4/4/16,50.718388
4/11/16,51.864723
4/18/16,48.257954
4/25/16,46.477879
5/2/16,46.962502
5/9/16,47.605572
5/16/16,47.176865
5/23/16,49.102283
5/30/16,48.604881
6/6/16,48.313942
6/13/16,47.04697
6/20/16,46.765427
6/27/16,48.013626
7/4/16,49.083504
7/11/16,50.397408
7/18/16,53.090908
7/25/16,53.194141
8/1/16,54.395412
8/8/16,54.376652
8/15/16,54.076324
8/22/16,54.800556
8/29/16,54.460579
9/5/16,53.081837
9/12/16,54.063961
9/19/16,54.23394
9/26/16,54.394482
10/3/16,54.583347
10/10/16,54.224495
10/17/16,56.339844
10/24/16,56.538151
10/31/16,55.442707
11/7/16,55.735462
11/14/16,56.99144
11/21/16,57.547577
11/28/16,56.330643
12/5/16,58.916634
12/12/16,59.230362
12/19/16,60.124058
12/26/16,59.078251
1/2/17,59.743763
1/9/17,59.610664
1/16/17,59.648685
1/23/17,62.538902
1/30/17,60.542374
2/6/17,60.846611
2/13/17,61.436062
2/20/17,61.808517
2/27/17,61.454613
3/6/17,62.105022
3/13/17,62.047638
3/20/17,62.152859
3/27/17,62.99456
4/3/17,62.822403
4/10/17,62.124149
4/17/17,63.51107
4/24/17,65.481438
5/1/17,65.99794
5/8/17,65.404922
5/15/17,64.744926
5/22/17,67.299736
5/29/17,69.031296
6/5/17,67.646049
6/12/17,67.338226
6/19/17,68.502213
6/26/17,66.308907
7/3/17,66.818756
7/10/17,70.012505
7/17/17,70.9841
7/24/17,70.262627
7/31/17,69.916306
8/7/17,69.743149
